"hits","sd","x","y","z"
100,0,0,102,60
99,5.3,0,102,58
98,5.7,0,102,52.5
97,6,0,102,47.2
96,6.3,0,103,42.9
95,6.5,0,103,39.5
94,6.7,0,103,36.6
93,6.9,0,103,33.9
92,7.1,-1,103,31.6
91,7.3,-1,103,29.5
90,7.5,-1,103,27.5
89,7.6,-1,104,25.8
88,7.8,-1,104,24.3
87,7.9,-1,105,22.9
86,8.1,-2,105,21.7
85,8.2,-2,106,20.6
84,8.4,-35,-100,19.8
83,8.5,-36,-100,19
82,8.6,-36,-100,18.4
81,8.8,-37,-101,17.8
80,8.9,-37,-101,17.3
79,9.1,-38,-101,16.9
78,9.2,-38,-101,16.5
77,9.3,-39,-100,16.1
76,9.5,-39,-100,15.8
75,9.6,-40,-99,15.6
74,9.7,-41,-97,15.3
73,9.9,-42,-96,15.1
72,10,-43,-94,14.9
71,10.2,-44,-92,14.7
70,10.3,-45,-90,14.6
69,10.5,-47,-87,14.4
68,10.6,-49,-84,14.3
67,10.7,-50,-82,14.2
66,10.9,-52,-79,14.1
65,11,-53,-77,14
64,11.2,-54,-75,13.9
63,11.3,-54,-73,13.8
62,11.5,-54,-71,13.7
61,11.7,-54,-69,13.6
60,11.8,-53,-67,13.5
59,12,-53,-65,13.4
58,12.1,-53,-62,13.4
57,12.3,-53,-59,13.3
56,12.5,-52,-57,13.2
55,12.7,-52,-54,13.2
54,12.8,-51,-51,13.1
53,13,-51,-48,13
52,13.2,-50,-45,13
51,13.4,-49,-42,12.9
50,13.6,-49,-39,12.9
49,13.8,-48,-36,12.8
48,14,-47,-33,12.8
47,14.2,-46,-31,12.7
46,14.4,-45,-28,12.7
45,14.6,-43,-26,12.6
44,14.9,-42,-24,12.6
43,15.1,-41,-22,12.5
42,15.3,-39,-20,12.5
41,15.6,-38,-17,12.4
40,15.8,-36,-15,12.4
39,16.1,-35,-13,12.3
38,16.4,-33,-12,12.3
37,16.6,-31,-11,12.2
36,16.9,-30,-11,12.2
35,17.2,-28,-11,12.1
34,17.6,-27,-11,12.1
33,17.9,-25,-10,12
32,18.2,-23,-9,12
31,18.6,-22,-9,11.9
30,18.9,-20,-8,11.8
29,19.3,-19,-8,11.8
28,19.7,-18,-7,11.7
27,20.2,-17,-7,11.7
26,20.6,-16,-6,11.6
25,21.1,-16,-6,11.5
24,21.6,-15,-6,11.5
23,22.1,-14,-5,11.4
22,22.7,-14,-5,11.3
21,23.3,-14,-5,11.3
20,24,-13,-5,11.2
19,24.6,-13,-5,11.1
18,25.4,-13,-4,11
17,26.2,-12,-4,11
16,27.1,-12,-4,10.9
15,28.1,-12,-4,10.8
14,29.1,-12,-4,10.7
13,30.3,-11,-4,10.6
12,31.6,-11,-4,10.6
11,33.1,-11,-4,10.5
10,34.9,-11,-3,10.4
9,36.8,-11,-3,10.3
8,39.2,-11,-3,10.2
7,42,-11,-3,10.2
6,45.5,-11,-3,10.1
5,50,-11,-3,10
4,56,-11,-3,9.9
3,64.8,-11,-3,9.8
2,79.6,-11,-3,9.7
1,112.9,-11,-3,9.6
